timestamp, utilization.gpu [%], memory.used [MiB]
2026/04/23 22:28:14.286, 0 %, 0 MiB
2026/04/23 22:28:15.291, 0 %, 0 MiB
2026/04/23 22:28:16.291, 0 %, 0 MiB
2026/04/23 22:28:17.291, 0 %, 0 MiB
2026/04/23 22:28:18.291, 0 %, 0 MiB
2026/04/23 22:28:19.291, 0 %, 0 MiB
2026/04/23 22:28:20.292, 0 %, 0 MiB
2026/04/23 22:28:21.292, 0 %, 0 MiB
2026/04/23 22:28:22.293, 0 %, 0 MiB
2026/04/23 22:28:23.293, 0 %, 0 MiB
2026/04/23 22:28:24.293, 0 %, 0 MiB
2026/04/23 22:28:25.293, 0 %, 1 MiB
2026/04/23 22:28:26.295, 1 %, 819 MiB
2026/04/23 22:28:27.296, 0 %, 18837 MiB
2026/04/23 22:28:28.296, 5 %, 18837 MiB
2026/04/23 22:28:29.296, 6 %, 18837 MiB
2026/04/23 22:28:30.296, 10 %, 18837 MiB
2026/04/23 22:28:31.297, 12 %, 18837 MiB
2026/04/23 22:28:32.297, 0 %, 18837 MiB
2026/04/23 22:28:33.297, 100 %, 21271 MiB
2026/04/23 22:28:34.297, 0 %, 22457 MiB
2026/04/23 22:28:35.297, 0 %, 87945 MiB
2026/04/23 22:28:36.298, 0 %, 87945 MiB
2026/04/23 22:28:37.298, 49 %, 84505 MiB
2026/04/23 22:28:38.298, 36 %, 0 MiB
